scope,layer,matrix,rate,rank_total,rank_keep,rank_truncated,loss,relative_loss,loss_definition
matrix,6,up,0.5,1536,768,768,2.5680352934827937,0.5049283069334952,spectral_norm_discarded_residual
matrix,6,up,0.6,1536,614,922,2.747501661613376,0.5402150686231221,spectral_norm_discarded_residual
matrix,6,up,0.7,1536,460,1076,2.933339925180025,0.5767546753895497,spectral_norm_discarded_residual
matrix,6,up,0.8,1536,307,1229,3.1336745517044218,0.616144563857138,spectral_norm_discarded_residual
matrix,6,up,0.85,1536,230,1306,3.245171748250886,0.6380671950697665,spectral_norm_discarded_residual
matrix,6,up,0.9,1536,153,1383,3.368290199677324,0.6622748028813846,spectral_norm_discarded_residual
matrix,7,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,7,down,0.1,1536,1382,154,1.6598828237097782,0.21579496246986413,spectral_norm_discarded_residual
matrix,7,down,0.2,1536,1228,308,1.9106461724699566,0.2483957380556844,spectral_norm_discarded_residual
matrix,7,down,0.3,1536,1075,461,2.118230754076637,0.2753830086974875,spectral_norm_discarded_residual
matrix,7,down,0.4,1536,921,615,2.3120744050333273,0.30058387395478964,spectral_norm_discarded_residual
matrix,7,down,0.5,1536,768,768,2.500872593806458,0.32512879813782314,spectral_norm_discarded_residual
matrix,7,down,0.6,1536,614,922,2.693458437134926,0.35016614067770857,spectral_norm_discarded_residual
matrix,7,down,0.7,1536,460,1076,2.8971873474512315,0.37665215036933014,spectral_norm_discarded_residual
matrix,7,down,0.8,1536,307,1229,3.1297175876316956,0.40688250984778046,spectral_norm_discarded_residual
matrix,7,down,0.85,1536,230,1306,3.272228044384131,0.4254097445580735,spectral_norm_discarded_residual
matrix,7,down,0.9,1536,153,1383,3.4463478494892126,0.4480463887062033,spectral_norm_discarded_residual
matrix,7,gate,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,7,gate,0.1,1536,1382,154,1.7007785666469033,0.14776761474693584,spectral_norm_discarded_residual
matrix,7,gate,0.2,1536,1228,308,1.9439496319740848,0.16889488492985608,spectral_norm_discarded_residual
matrix,7,gate,0.3,1536,1075,461,2.152364791894296,0.1870024808641271,spectral_norm_discarded_residual
matrix,7,gate,0.4,1536,921,615,2.3520682577134524,0.20435318446510883,spectral_norm_discarded_residual
matrix,7,gate,0.5,1536,768,768,2.557433790880227,0.222195821703368,spectral_norm_discarded_residual
matrix,7,gate,0.6,1536,614,922,2.77079249606626,0.2407329243980424,spectral_norm_discarded_residual
matrix,7,gate,0.7,1536,460,1076,3.0062064885737696,0.2611862419745154,spectral_norm_discarded_residual
matrix,7,gate,0.8,1536,307,1229,3.277447165940461,0.28475226561969713,spectral_norm_discarded_residual
matrix,7,gate,0.85,1536,230,1306,3.4517284062678333,0.2998942268857576,spectral_norm_discarded_residual
matrix,7,gate,0.9,1536,153,1383,3.682731886940526,0.31996434889143455,spectral_norm_discarded_residual
matrix,7,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,7,up,0.1,1536,1382,154,1.7838561051704036,0.310478525776922,spectral_norm_discarded_residual
matrix,7,up,0.2,1536,1228,308,2.0288653994973656,0.353122169669383,spectral_norm_discarded_residual
matrix,7,up,0.3,1536,1075,461,2.23758711053929,0.38944999283522236,spectral_norm_discarded_residual
matrix,7,up,0.4,1536,921,615,2.4267314900724957,0.42237039933339704,spectral_norm_discarded_residual
matrix,7,up,0.5,1536,768,768,2.6120005106726785,0.4546163031489316,spectral_norm_discarded_residual
matrix,7,up,0.6,1536,614,922,2.798264947779996,0.48703545829834527,spectral_norm_discarded_residual
matrix,7,up,0.7,1536,460,1076,2.9954920219570846,0.5213626504167638,spectral_norm_discarded_residual
matrix,7,up,0.8,1536,307,1229,3.2048985930578926,0.5578096728503183,spectral_norm_discarded_residual
matrix,7,up,0.85,1536,230,1306,3.3262108053985022,0.5789239526047671,spectral_norm_discarded_residual
matrix,7,up,0.9,1536,153,1383,3.457328836525412,0.6017449261625906,spectral_norm_discarded_residual
matrix,8,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,8,down,0.1,1536,1382,154,1.5676682652901088,0.1602557657097295,spectral_norm_discarded_residual
matrix,8,down,0.2,1536,1228,308,1.8447770191810933,0.18858336315041035,spectral_norm_discarded_residual
matrix,8,down,0.3,1536,1075,461,2.059856467905478,0.21056998015791495,spectral_norm_discarded_residual
matrix,8,down,0.4,1536,921,615,2.253990760841793,0.23041546689376385,spectral_norm_discarded_residual
matrix,8,down,0.5,1536,768,768,2.4379990551113764,0.24922581774924682,spectral_norm_discarded_residual
matrix,8,down,0.6,1536,614,922,2.628460317489611,0.2686958268808135,spectral_norm_discarded_residual
matrix,8,down,0.7,1536,460,1076,2.8306679993236115,0.2893666203147166,spectral_norm_discarded_residual
