config_id,occupied_count,loads,timeout_ms,rate_policy,baseline_tok_s,raw_svd_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_ppl,schedule_ppl,ppl_delta_vs_baseline,selected_policy,constraints_ok,ppl_le_40,throughput_ge_baseline,group_a,group_b,tokens,ppl_source,raw_status,baseline_status
2occ_cfg6,2,"50,100,0,0,0,0,0,0",100,mod3_1_0.1,1.93282,27.5253,27.525300,14.241005,15.1424,16.008971,0.866571,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",10,odd_0.05,26.6422,2.04841,26.642200,1.000000,15.1424,19.397400,4.255000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",20,odd_0.05,26.6422,24.38,26.642200,1.000000,15.1424,18.995400,3.853000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",30,odd_0.05,26.6422,28.5023,28.502300,1.069818,15.1424,18.593400,3.451000,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",40,odd_0.05,26.6422,0.218962,26.642200,1.000000,15.1424,18.191400,3.049000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",50,odd_0.05,26.6422,1.6349,26.642200,1.000000,15.1424,17.789400,2.647000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",60,odd_0.05,26.6422,1.34459,26.642200,1.000000,15.1424,17.387400,2.245000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",70,odd_0.05,26.6422,26.1672,26.642200,1.000000,15.1424,16.985400,1.843000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",80,odd_0.05,26.6422,0.452657,26.642200,1.000000,15.1424,16.583400,1.441000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",90,odd_0.05,26.6422,28.6369,28.636900,1.074870,15.1424,16.181400,1.039000,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
